iteration,total_timesteps,loss,approx_kl,explained_variance,entropy_loss,learning_rate
44,360448,6067.35009765625,0.0045706537,0.9345038831233978,-10.13560046851635,<function linear_schedule.<locals>.func at 0x0000020697778720>
45,368640,6524.38330078125,0.004610636,0.8783897086977959,-10.141677297651768,<function linear_schedule.<locals>.func at 0x0000020697778720>
46,376832,5836.43994140625,0.0055424916,0.8634647130966187,-10.135099899768829,<function linear_schedule.<locals>.func at 0x0000020697778720>
47,385024,5322.525390625,0.005953494,0.8659734725952148,-10.12057304829359,<function linear_schedule.<locals>.func at 0x0000020697778720>
48,393216,6111.96435546875,0.005508133,0.7333228588104248,-10.087144204974175,<function linear_schedule.<locals>.func at 0x0000020697778720>
49,401408,5280.8642578125,0.004957359,0.8893686980009079,-10.029033264517784,<function linear_schedule.<locals>.func at 0x0000020697778720>
50,409600,6471.990234375,0.0044585373,0.9402751922607422,-9.979097785055638,<function linear_schedule.<locals>.func at 0x0000020697778720>
51,417792,5970.63232421875,0.0056849793,0.9424943327903748,-9.949623376131058,<function linear_schedule.<locals>.func at 0x0000020697778720>
52,425984,6352.4716796875,0.005779464,0.9275965169072151,-9.971465557813644,<function linear_schedule.<locals>.func at 0x0000020697778720>
53,434176,5389.3154296875,0.0047790143,0.9529355391860008,-9.991408075392247,<function linear_schedule.<locals>.func at 0x0000020697778720>
54,442368,6077.44091796875,0.0046964632,0.951883751899004,-9.965619631111622,<function linear_schedule.<locals>.func at 0x0000020697778720>
55,450560,5742.29248046875,0.0060339756,0.9391201995313168,-9.97990785986185,<function linear_schedule.<locals>.func at 0x0000020697778720>
56,458752,5697.66552734375,0.004680136,0.9559104926884174,-9.993709634244443,<function linear_schedule.<locals>.func at 0x0000020697778720>
57,466944,9.747980117797852,0.007004803,0.9735056236386299,-10.005118092894554,<function linear_schedule.<locals>.func at 0x0000020697778720>
58,475136,16.12396240234375,0.0057209707,0.9753846265375614,-10.048673535883427,<function linear_schedule.<locals>.func at 0x0000020697778720>
